horizon,n_train,n_test,n_train_events,n_test_events,auc_ipcw,c_index_ipcw,brier_ipcw,fold,model,landmark
0.9241503119468689,56,22,7,1,0.6315789473684211,0.5714285714285714,0.05375118420766318,2,jmstate,0.8879777491092682
0.9422365933656692,56,22,7,2,0.7104199323488161,0.6727920109008448,0.11252828920559935,2,jmstate,0.8879777491092682
0.9603228747844696,56,22,7,3,0.8196835614786226,0.7628648459949255,0.16730594377508418,2,jmstate,0.8879777491092682
0.97840915620327,56,22,7,3,0.8076624655771976,0.7628648459949255,0.17503353568182822,2,jmstate,0.8879777491092682
0.9964954376220703,56,22,7,3,0.8076624655771976,0.7628648459949255,0.18304294996267273,2,jmstate,0.8879777491092682
1.0145817190408706,56,22,7,3,0.8399910407387945,0.7628648459949255,0.18882493809877055,2,jmstate,0.8879777491092682
1.032668000459671,56,22,7,4,0.8906959257464141,0.8104906795191901,0.24445952273407726,2,jmstate,0.8879777491092682
1.0507542818784714,56,22,7,4,0.8906959257464141,0.8104906795191901,0.24674508390622954,2,jmstate,0.8879777491092682
1.0688405632972717,56,22,7,4,0.8797655183210555,0.7958091388673325,0.24352049919910057,2,jmstate,0.8879777491092682
1.086926844716072,56,22,7,4,0.888888888888889,0.7958091388673325,0.24523280027531155,2,jmstate,0.8879777491092682
1.1050131261348723,56,22,7,4,0.888888888888889,0.7958091388673325,0.24417047200618872,2,jmstate,0.8879777491092682
1.1230994075536729,56,22,7,4,0.888888888888889,0.7958091388673325,0.24729521129607968,2,jmstate,0.8879777491092682
1.1411856889724732,56,22,7,4,0.888888888888889,0.7958091388673325,0.2424686935069071,2,jmstate,0.8879777491092682
1.1592719703912735,56,22,7,4,0.888888888888889,0.7958091388673325,0.24217323425408166,2,jmstate,0.8879777491092682
1.1773582518100738,56,22,7,4,0.888888888888889,0.7958091388673325,0.25417451970016885,2,jmstate,0.8879777491092682
1.1954445332288741,56,22,7,4,0.875,0.7958091388673325,0.24939311782115386,2,jmstate,0.8879777491092682
1.2135308146476746,56,22,7,4,0.8571428571428571,0.7958091388673325,0.24448740625520451,2,jmstate,0.8879777491092682
1.231617096066475,56,22,7,4,0.8333333333333334,0.7811275982154751,0.24683921562426472,2,jmstate,0.8879777491092682
1.2497033774852753,56,22,7,4,0.8333333333333334,0.7811275982154751,0.25019573090307107,2,jmstate,0.8879777491092682
