model,landmark,horizon,n_records,mean_auc_ipcw,sd_auc_ipcw,n_valid_auc_ipcw,mean_c_index_ipcw,sd_c_index_ipcw,n_valid_c_index_ipcw,mean_brier_ipcw,sd_brier_ipcw,n_valid_brier_ipcw
jmstate,0.6295860111713409,1.0033767620722454,5,0.7164087252614729,0.18945065628800034,5,0.6973978071420704,0.16379097046521818,5,0.1536458863804286,0.11333901849671477,5
jmstate,0.6295860111713409,1.0300761014223099,5,0.7520853477448382,0.1922432613448547,5,0.721880213751465,0.16423163380707365,5,0.16670375055318437,0.12783735861791928,5
jmstate,0.6295860111713409,1.0567754407723744,5,0.7863991418800106,0.19833893436605848,5,0.7362154150639582,0.16330466246136402,5,0.15266346965647357,0.11971238550306897,5
jmstate,0.6295860111713409,1.083474780122439,5,0.7915570662874953,0.19882119026479053,5,0.7358784576898023,0.16326265434829523,5,0.1629201197443755,0.12227571342136453,5
jmstate,0.6295860111713409,1.1101741194725037,5,0.785426618433087,0.1959649863067536,5,0.7391877974816022,0.16382493673766735,5,0.16757076798419313,0.1250487229017402,5
jmstate,0.6295860111713409,1.1368734588225682,5,0.7903570465013001,0.19696064445134448,5,0.7437113537217099,0.165127732202683,5,0.1700623414707798,0.12616703992516196,5
jmstate,0.6295860111713409,1.1635727981726327,5,0.7903570465013001,0.1969606444513445,5,0.7437113537217099,0.165127732202683,5,0.1735356105067542,0.13183152332869297,5
jmstate,0.6295860111713409,1.1902721375226974,5,0.7804763280801177,0.19387728573777233,5,0.7421874644786726,0.17066197208365969,5,0.18121743655109246,0.13708547620069983,5
jmstate,0.6295860111713409,1.216971476872762,5,0.7800016923905895,0.193789923866134,5,0.7421874644786726,0.17066197208365969,5,0.18363344245130198,0.1356813035592443,5
jmstate,0.6295860111713409,1.2436708162228265,5,0.765101508810561,0.19098526958678044,5,0.7421874644786726,0.17066197208365969,5,0.19512353481272418,0.14208019582803397,5
jmstate,0.6295860111713409,1.2703701555728912,5,0.7961225701254089,0.2051716176792419,5,0.7404110482794282,0.17052574587305339,5,0.16595167852056902,0.11642378155602429,5
jmstate,0.6295860111713409,1.297069494922956,5,0.7885273679917499,0.2075838724317661,5,0.7440764011665554,0.17115152431019345,5,0.1866969847786624,0.14391501249733346,5
jmstate,0.6295860111713409,1.3237688342730205,5,0.7885273679917499,0.2075838724317661,5,0.7440764011665554,0.17115152431019345,5,0.1970210250967425,0.15568658721433562,5
jmstate,0.6295860111713409,1.350468173623085,5,0.6426039052715719,0.33534174889150203,5,0.7440764011665554,0.17115152431019345,5,0.26472294380781525,0.22713929853388024,5
jmstate,0.6295860111713409,1.3771675129731498,5,0.6426039052715719,0.33534174889150203,5,0.7440764011665554,0.17115152431019345,5,0.2672958440285736,0.22868864640749847,5
jmstate,0.6295860111713409,1.403866852323214,5,0.6287834263751314,0.3711543047343901,4,0.8129837290153155,0.08603677599275128,4,0.4296302026913049,0.38745168567163457,4
jmstate,0.6295860111713409,1.4305661916732788,5,,,0,,,0,,,0
jmstate,0.8879777491092682,0.9060640305280685,5,0.6315789473684211,,1,0.5714285714285714,,1,0.047508958490037466,,1
jmstate,0.8879777491092682,0.9241503119468689,5,0.6315789473684211,,1,0.5714285714285714,,1,0.05375118420766318,,1
jmstate,0.8879777491092682,0.9422365933656692,5,0.8034733107829387,0.1702768288068081,3,0.7909306703002817,0.18156970323686192,3,0.09987830702464433,0.019544072765233487,3
jmstate,0.8879777491092682,0.9603228747844696,5,0.8287834093817631,0.16685287891334982,3,0.8209549486649751,0.1582113934619207,3,0.12266314771712915,0.04608020245774829,3
jmstate,0.8879777491092682,0.97840915620327,5,0.8108874885257326,0.18752080039228697,3,0.8209549486649751,0.1582113934619207,3,0.1310135106437628,0.05230346544228898,3
jmstate,0.8879777491092682,0.9964954376220703,5,0.8108874885257326,0.18752080039228697,3,0.8209549486649751,0.1582113934619207,3,0.1399745112190737,0.060224501526796946,3
jmstate,0.8879777491092682,1.0145817190408706,5,0.8774863838974762,0.10872808658175095,3,0.8474423136624499,0.13237920121405392,3,0.16078759469150128,0.08131161139689325,3
jmstate,0.8879777491092682,1.032668000459671,5,0.8943880122333495,0.10381519575552764,3,0.8633175915038716,0.11938280386496436,3,0.1827021362210559,0.10006900919997054,3
jmstate,0.8879777491092682,1.0507542818784714,5,0.8828584628418849,0.12125039383277175,3,0.8633175915038716,0.11938280386496436,3,0.18390823848463297,0.10270876966641464,3
jmstate,0.8879777491092682,1.0688405632972717,5,0.9251723856449289,0.05946666925457049,4,0.8820965523402018,0.08563158828970743,4,0.13465316996085624,0.07663495003950982,4
jmstate,0.8879777491092682,1.086926844716072,5,0.9196091940887677,0.061839026250992316,4,0.8820965523402018,0.08563158828970743,4,0.135415484267651,0.07788636904109275,4
jmstate,0.8879777491092682,1.1050131261348723,5,0.9196091940887677,0.061839026250992316,4,0.8820965523402018,0.08563158828970743,4,0.13594472701128188,0.07794551552490601,4
jmstate,0.8879777491092682,1.1230994075536729,5,0.9080238989966638,0.069300920926121,4,0.8768920741758791,0.08683090208019503,4,0.15678111158492689,0.08872047733272757,4
jmstate,0.8879777491092682,1.1411856889724732,5,0.9080238989966638,0.069300920926121,4,0.8768920741758791,0.08683090208019503,4,0.15523346264933516,0.08801121121456598,4
jmstate,0.8879777491092682,1.1592719703912735,5,0.9080238989966638,0.069300920926121,4,0.8612555086688473,0.09728599147649705,4,0.15632830088483404,0.08929967540529034,4
jmstate,0.8879777491092682,1.1773582518100738,5,0.8996905656633305,0.08209863437999598,4,0.8612555086688473,0.09728599147649705,4,0.16312486018501227,0.0950808106577714,4
jmstate,0.8879777491092682,1.1954445332288741,5,0.8962183434411083,0.08299654571963533,4,0.8612555086688473,0.09728599147649705,4,0.16493722763465146,0.09529650313931724,4
jmstate,0.8879777491092682,1.2135308146476746,5,0.8917540577268226,0.0849749687603737,4,0.8612555086688473,0.09728599147649705,4,0.1674907296699868,0.09596793050616388,4
jmstate,0.8879777491092682,1.231617096066475,5,0.8733016767744416,0.10675630520287953,4,0.8575851235058829,0.10079196432445091,4,0.1731625273771022,0.09809487825925572,4
jmstate,0.8879777491092682,1.2497033774852753,5,0.8733016767744416,0.10675630520287953,4,0.8575851235058829,0.10079196432445091,4,0.1795439732561072,0.10165780803197802,4
jmstate,0.8879777491092682,1.2677896589040756,5,0.9149683434411082,0.11790006826123033,4,0.8575851235058829,0.10079196432445091,4,0.15558447912413503,0.10582479681553643,4
jmstate,0.8879777491092682,1.2858759403228759,5,0.894135010107775,0.1574847458519851,4,0.8575851235058829,0.10079196432445091,4,0.15915461583757642,0.10904749300147029,4
jmstate,0.8879777491092682,1.3039622217416764,5,0.894135010107775,0.1574847458519851,4,0.8575851235058829,0.10079196432445091,4,0.18126371599961028,0.13757836897886735,4
jmstate,0.8879777491092682,1.3220485031604767,5,0.894135010107775,0.1574847458519851,4,0.8575851235058829,0.10079196432445091,4,0.19374207142214053,0.15340496716544358,4
jmstate,0.8879777491092682,1.340134784579277,5,0.7162025151616624,0.4817026296032636,4,0.8575851235058829,0.10079196432445091,4,0.22176827873270677,0.18013153396335446,4
jmstate,0.8879777491092682,1.3582210659980773,5,0.7162025151616624,0.4817026296032636,4,0.8575851235058829,0.10079196432445091,4,0.2683551293329396,0.23538406958478447,4
jmstate,0.8879777491092682,1.3763073474168777,5,0.7162025151616624,0.4817026296032636,4,0.8575851235058829,0.10079196432445091,4,0.2732150027376768,0.24224295525363387,4
jmstate,0.8879777491092682,1.3943936288356782,5,0.57296201212933,0.5259441758112761,5,0.6860680988047063,0.39333155717029133,5,0.3379208329490508,0.2559830902930559,5
jmstate,0.8879777491092682,1.4124799102544785,5,0.909873373764433,0.1561038957547721,3,0.8795682229029832,0.11108100717024177,3,0.4792285766489295,0.7254387260693719,3
jmstate,0.8879777491092682,1.4305661916732788,5,,,0,,,0,,,0
