model,target_state,landmark,horizon,n_records,mean_auc_ipcw,sd_auc_ipcw,n_valid_auc_ipcw,mean_c_index_ipcw,sd_c_index_ipcw,n_valid_c_index_ipcw,mean_brier_ipcw,sd_brier_ipcw,n_valid_brier_ipcw
parametric,2,1.4514093101024628,3.715742588043213,5,,,0,,,0,,,0
parametric,2,2.107118248939514,2.1607390602429706,5,0.5633686076001833,0.2800772555390612,4,0.5629131175511707,0.2729690938687907,4,0.07824918713985562,0.041738645896663706,3
parametric,2,2.107118248939514,2.2143598715464274,5,0.6336931031469022,0.04971549173980207,5,0.617246607976358,0.07257134855393448,5,0.10219382441609612,0.057209488211546464,4
parametric,2,2.107118248939514,2.267980682849884,5,0.647520330392488,0.20236982600918205,5,0.6193358613543675,0.21786860380533932,5,0.159733312813443,0.0851320684333228,4
parametric,2,2.107118248939514,2.3216014941533407,5,0.6457325686128479,0.1883134748820072,5,0.6381192674348756,0.21585054426262207,5,0.16425715884272246,0.09505388200710176,4
parametric,2,2.107118248939514,2.375222305456797,5,0.6382519371020648,0.12443935103512997,5,0.6241623221654671,0.11971737047636141,5,0.1838030934615416,0.09637910576080473,4
parametric,2,2.107118248939514,2.428843116760254,5,0.5769169022504859,0.1266039924740516,5,0.5901885508902545,0.1152003611667378,5,0.2012528356444196,0.10872039282960645,4
parametric,2,2.107118248939514,2.4824639280637104,5,0.5549998454251936,0.1304486144508744,5,0.5564565555339758,0.13131656441204753,5,0.22824892925968313,0.07173156174020356,4
parametric,2,2.107118248939514,2.5360847393671673,5,0.7012379684215123,0.20207561268414762,5,0.5935438274732959,0.08905107186800953,5,0.2525148356416741,0.05711360511258581,4
parametric,2,2.107118248939514,2.5897055506706237,5,0.632599352554635,0.27152358518816716,5,0.5499454422103345,0.12651194904693866,5,0.31322160205607397,0.04641960384420858,4
parametric,2,2.107118248939514,2.64332636197408,5,0.5890364824612172,0.18207337537119295,4,0.5364058003681471,0.10997745610953838,4,0.30950112623320697,0.07067078788939118,3
parametric,2,2.107118248939514,2.696947173277537,5,0.5814901402231224,0.21086488732388506,4,0.5505662321431612,0.13327670426507235,4,0.2891815194985824,0.0661514180519935,3
parametric,2,2.107118248939514,2.750567984580994,5,0.6135770026109156,0.24253388014718416,4,0.570499449049227,0.15156652992196756,4,0.2632272759569217,0.06210831477610542,3
parametric,2,2.107118248939514,2.8041887958844502,5,0.6730989184529206,0.1549597661944479,4,0.6119022191234587,0.0886819600245473,4,0.25627285151312545,0.051223702923185246,3
parametric,2,2.107118248939514,2.8578096071879067,5,0.7816514519964205,0.1796536058202986,3,0.6351157546977485,0.09167813876025672,3,0.19636102678614614,0.056242064036226176,2
parametric,2,2.107118248939514,2.9114304184913635,5,0.787899298581749,0.16889873102276906,3,0.6391538405231193,0.0993733601983503,3,0.18970177149449544,0.0033491567246530978,2
parametric,2,2.107118248939514,2.9650512297948204,5,0.7838319659475576,0.14421687705280886,3,0.6228853717107802,0.08503995279406897,3,0.19431439113562443,0.028722993644473636,2
