model,landmark,horizon,n_records,mean_auc_ipcw,sd_auc_ipcw,n_valid_auc_ipcw,mean_c_index_ipcw,sd_c_index_ipcw,n_valid_c_index_ipcw,mean_brier_ipcw,sd_brier_ipcw,n_valid_brier_ipcw
parametric,2.107118248939514,3.233155286312103,15,0.6450987970400973,0.27964395582268164,2,0.5928921587334426,0.10316905158159852,2,0.49544496322210185,0.43789129965398205,2
parametric,2.107118248939514,3.2867760976155598,15,0.10202543014177295,,1,0.5227547819114139,,1,0.8808068249388846,,1
parametric,2.107118248939514,3.3403969089190166,15,0.10202543014177291,,1,0.5232419681907553,,1,0.8490180703463126,,1
parametric,2.107118248939514,3.3940177202224735,15,,,0,,,0,,,0
parametric,2.107118248939514,3.44763853152593,15,,,0,,,0,,,0
parametric,2.107118248939514,3.5012593428293863,15,,,0,,,0,,,0
parametric,2.107118248939514,3.554880154132843,15,,,0,,,0,,,0
parametric,2.107118248939514,3.6085009654362996,15,,,0,,,0,,,0
parametric,2.107118248939514,3.662121776739756,15,,,0,,,0,,,0
parametric,2.107118248939514,3.715742588043213,15,,,0,,,0,,,0
parametric,2.495120406150818,2.5358078122138976,15,0.4717109979249198,0.3151421159550746,10,0.47250626566416043,0.31503061101234203,10,0.1973177052569719,0.16821811431041286,9
parametric,2.495120406150818,2.5764952182769774,15,0.5290791276898635,0.33633474865348983,10,0.5252329271070802,0.33305545135874787,10,0.22101132528285278,0.1505317234176784,9
parametric,2.495120406150818,2.6171826243400576,15,0.6835253539961529,0.26736095248336267,11,0.6454114326268637,0.2903057863846184,11,0.2509179141482281,0.20322291797892125,10
parametric,2.495120406150818,2.6578700304031373,15,0.6620070044949153,0.2688077087015625,10,0.5903215532294717,0.2696729894450855,10,0.259865722783979,0.22873833771102886,9
parametric,2.495120406150818,2.698557436466217,15,0.6524283498447192,0.28850050423115153,10,0.5771112587858761,0.2747047593298978,10,0.28296938351837037,0.27373438718751675,9
parametric,2.495120406150818,2.739244842529297,15,0.6681368691945753,0.2741617609417958,10,0.5865998506517919,0.23812052948154613,10,0.28277165993132025,0.25868350476453383,9
parametric,2.495120406150818,2.7799322485923765,15,0.7516487757118457,0.19432426920749465,10,0.6927311877560375,0.18423620683734895,10,0.2820614043111751,0.23277110665976633,9
parametric,2.495120406150818,2.8206196546554567,15,0.6993246430585949,0.29502060329325325,10,0.6669588488015846,0.1793205522728841,10,0.3136166227394841,0.25036952446422883,9
parametric,2.495120406150818,2.8613070607185365,15,0.8357151703140525,0.2038432415203065,9,0.6949256508793655,0.17282488178555036,9,0.26088015249462293,0.18539368182869284,8
parametric,2.495120406150818,2.901994466781616,15,0.8056979075988943,0.22495865533364212,9,0.6832314103751104,0.1808996452424974,9,0.28660464624666515,0.1833403811704612,8
parametric,2.495120406150818,2.942681872844696,15,0.8107910814203425,0.2449148273929156,9,0.6828951386973698,0.18918203867524228,9,0.27658452163613456,0.17526903027005575,8
parametric,2.495120406150818,2.9833692789077757,15,0.7283030467068373,0.27876333520588586,9,0.606398672654036,0.1475225538819949,9,0.3320522816317247,0.1267377963386896,8
parametric,2.495120406150818,3.024056684970856,15,0.8139269803718362,0.2810926747539339,9,0.6727483469057938,0.16488547443302423,9,0.3492248397979135,0.135921064655677,8
parametric,2.495120406150818,3.0647440910339356,15,0.8099793918524086,0.3210175208170138,6,0.663520172602832,0.13788212245675713,6,0.31166934427593224,0.14987730601789467,5
parametric,2.495120406150818,3.1054314970970154,15,0.8407393890677537,0.25637456522615143,6,0.6640433896966339,0.12088286160477836,6,0.30364786052116205,0.17417114331819708,5
parametric,2.495120406150818,3.146118903160095,15,0.8373664958099775,0.24795154988072574,6,0.6688953067119946,0.12568682457697483,6,0.28053034678715916,0.172878239185559,5
parametric,2.495120406150818,3.186806309223175,15,0.6814787781355074,0.2970319303605394,3,0.6414493721478414,0.1800448574849804,3,0.33147467384179713,0.250501650263274,3
parametric,2.495120406150818,3.227493715286255,15,0.6897470047358607,0.4387639936694214,2,0.6134340512448191,0.25076369842163215,2,0.4400564128827975,0.37686432072625314,2
parametric,2.495120406150818,3.268181121349335,15,0.4120540120974768,,1,0.4426024426054364,,1,0.8324431042724711,,1
parametric,2.495120406150818,3.3088685274124146,15,0.08882849152591786,,1,0.4426024426054364,,1,0.7174474604372799,,1
parametric,2.495120406150818,3.3495559334754943,15,0.08882849152591786,,1,0.43908060877009303,,1,0.735724636351691,,1
parametric,2.495120406150818,3.390243339538574,15,0.08882849152591786,,1,0.419066735119463,,1,0.7373959621465497,,1
parametric,2.495120406150818,3.4309307456016542,15,,,0,,,0,,,0
parametric,2.495120406150818,3.471618151664734,15,,,0,,,0,,,0
parametric,2.495120406150818,3.5123055577278137,15,,,0,,,0,,,0
parametric,2.495120406150818,3.552992963790894,15,,,0,,,0,,,0
parametric,2.495120406150818,3.593680369853973,15,,,0,,,0,,,0
parametric,2.495120406150818,3.6343677759170534,15,,,0,,,0,,,0
parametric,2.495120406150818,3.675055181980133,15,,,0,,,0,,,0
parametric,2.495120406150818,3.715742588043213,15,,,0,,,0,,,0
