horizon,n_train,n_test,n_train_events,n_test_events,auc_ipcw,c_index_ipcw,brier_ipcw,target_state,transition,landmark,fold,model
1.9042759656906127,289,72,59,1,,,,3,2->3,1.4514093101024628,1,parametric
1.979753741621971,289,72,59,1,,,,3,2->3,1.4514093101024628,1,parametric
2.0552315175533296,289,72,59,1,,,,3,2->3,1.4514093101024628,1,parametric
2.1307092934846876,289,72,59,2,,,,3,2->3,1.4514093101024628,1,parametric
2.206187069416046,289,72,59,3,,,,3,2->3,1.4514093101024628,1,parametric
2.2816648453474047,289,72,59,4,,,,3,2->3,1.4514093101024628,1,parametric
2.3571426212787627,289,72,59,4,,,,3,2->3,1.4514093101024628,1,parametric
2.4326203972101212,289,72,59,4,,,,3,2->3,1.4514093101024628,1,parametric
2.5080981731414793,289,72,59,7,,,,3,2->3,1.4514093101024628,1,parametric
2.583575949072838,289,72,59,9,,,,3,2->3,1.4514093101024628,1,parametric
2.6590537250041963,289,72,59,10,,,,3,2->3,1.4514093101024628,1,parametric
2.7345315009355544,289,72,59,11,,,,3,2->3,1.4514093101024628,1,parametric
2.8100092768669125,289,72,59,11,,,,3,2->3,1.4514093101024628,1,parametric
2.885487052798271,289,72,59,11,,,,3,2->3,1.4514093101024628,1,parametric
2.9609648287296295,289,72,59,11,,,,3,2->3,1.4514093101024628,1,parametric
3.036442604660988,289,72,59,12,,,,3,2->3,1.4514093101024628,1,parametric
3.111920380592346,289,72,59,13,,,,3,2->3,1.4514093101024628,1,parametric
3.187398156523704,289,72,59,13,,,,3,2->3,1.4514093101024628,1,parametric
3.2628759324550627,289,72,59,13,,,,3,2->3,1.4514093101024628,1,parametric
3.338353708386421,289,72,59,13,,,,3,2->3,1.4514093101024628,1,parametric
3.4138314843177797,289,72,59,13,,,,3,2->3,1.4514093101024628,1,parametric
3.489309260249138,289,72,59,13,,,,3,2->3,1.4514093101024628,1,parametric
3.5647870361804963,289,72,59,13,,,,3,2->3,1.4514093101024628,1,parametric
3.6402648121118544,289,72,59,13,,,,3,2->3,1.4514093101024628,1,parametric
3.715742588043213,289,72,59,14,,,,3,2->3,1.4514093101024628,1,parametric
